kor,eng
실례지만 제가 창문 쪽 자리인 것 같은데요. ,"Excuse me, but I think I have the window seat."
그만 찾아도 돼. 내가 찾았어!,Stop searching. I found it!
잘 찾아봐라.,Search thoroughly.
채소에 소금을 뿌려라.,Sprinkle salt on the vegetables.
책 빌려줘서 고마워.,Thank you for lending me the book.
선생님 책상에 개구리를 넣은 사람은 나야.,I put a frog in my teacher's desk.
제가 개인적으로 책임을 지겠습니다. ,I'll take personal responsibility for it.
이번에 중국 처음 가는 거니? ,Is it your first trip to China?
좀 더 천천히 말씀해 주세요.,"Speak a little more slowly, please."
저 청바지 요즘 엄청 유행이야. ,Those jeans are all the rage these days.
아직도 혼자 집을 청소하세요?,Do you still clean your house by yourself?
100미터를 몇 초에 뛰세요? ,How many seconds does it take you to run 100 meters?
그 애는 나를 자기 생일 파티에 초대하지 않았다.,She didn't invite me to her birthday party.
1996년 이전에는 한국에서는 초등학교를 국민학교라고 불렀다.,"Elementary school was called national school"" before 1996 in Korea.""""lementary school was called ""national """"ementary """
아무도 밸런타인데이에 나한테 초콜릿을 안 줬어.,Nobody gave me chocolate on Valentine's day.
내가 본 것 중 최고였어. ,It was the best I've ever seen.
여동생이 축구하는 걸 보고 있어.,I'm watching my sister play soccer.
축하합니다!,Congratulations!
아직도 출발 안 했어? ,Haven't you left yet?
밤새도록 춤을 췄어요. ,I danced the entire night through.
오늘 날씨 정말 춥다! ,"Oh, it's very cold today!"
낚시는 제 유일한 취미예요.,Fishing is my only hobby.
저 조금 취한 것 같아요.,I think I'm a little bit drunk.
몇 층 가세요?,Which floor do you want?
내 친구 녀석이 화가 나 내 얼굴을 쳤다.,My friend was so angry that he hit me in the face.
이 새로 산 치마 어때? ,What do you think of my new skirt?
치약을 중간부터 짜지 마라.,Don't squeeze the toothpaste in the middle.
우리는 그냥 친구일까? 아니면 연인일까?,Are we just friends? Or lovers?
그녀는 못생겼지만 정말 친절하다.,She is ugly but very friendly.
칠판에 써 볼 사람? ,Who can write it on the board?
많은 한국인들이 여전히 침대에서 자는 것을 좋아하지 않는다.,Many Koreans still don't like to sleep in beds.
니 칫솔을 썼더니 기분이 이상해.,I feel weird because I used your toothbrush.
그는 칭찬을 받을 만하다.,He deserves a compliment.
신용카드가 때로는 교통카드 기능을 한다.,Sometimes credit cards can also function as a travel pass card.
디지털 카메라에는 필름이 필요 없어요.,You don't need film with a digital camera.
이 수박 자르게 칼 좀 가져와라.,Get me a knife to slice this watermelon.
캐나다의 수도가 어디죠?,What's the capital of Canada?
혜안의 눈은 정말 커다랗다.,Hyean's eyes are really big.
커피를 마시면 밤에 잠이 안 와요.,I can't sleep at night if I drink coffee.
컴퓨터가 또 고장 났네!,My computer is out of order again!
컵에 립스틱 자국이 남아 있었다.,There was a smudge of lipstick on the cup.
불을 끄고 라디오를 켜라.,Turn off the light and turn on the radio.
나는 감기에 걸리면 코로 숨을 못 쉰다.,I can't breath through my nose when I catch a cold.
햄버거 두 개랑 콜라 주세요.,"Two hamburgers and one cola to go, please."
글자 크기는 바꿀 수 있습니다. ,You can change the font size.
"우리 애가 벌써 커서, 이 옷이 맞지 않을 정도로 커졌다.","My child has grown up, so he is too big for these clothes."
크리스마스에 뭐 갖고 싶어?,What would you like to have for Christmas?
그 사람은 키가 크고 수염이 있어요.,He is tall and has a beard.
나 고양이 키우고 싶어.,I want to raise a cat.
오늘은 왜 택시를 탔어요?,Why did you take a taxi today?
태권도를 했다니 안 믿어지는데.,I can't believe you learned Taekwondo.
나는 수업 태도가 좋지 않았어요.,I had a bad attitude in class.
저는 양의 해에 태어났어요.,I was born in the year of the sheep.
저 택시는 왜 그냥 가는 거죠? ,Why did that taxi just take off like that?
나랑 테니스 칠래? ,You want to play tennis with me?
바닥청소 하게 저 테이블 좀 옮겨줄래?,Can you move that table so I can sweep the floor?
오늘 밤 텔레비전에서 뭐 해?,What's on television tonight?
큰 코가 그 사람 얼굴의 특징이야.,His big nose is the central feature of his face.
특히 마지막 노래가 좋았어. ,I especially loved the last song.
내가 40점을 넣어서 우리 팀이 이겼어.,I scored 40 points and our team won the game.
머리를 파란색으로 염색했더니 엄마가 나를 내쫓았다.,I dyed my hair blue and my mom kicked me out.
파티에 같이 갈래요?,Would you like to come along to the party?
팔을 못 움직이겠어요.,I can't move my arm now.
한국의 약국에서는 약만 팔아요.,Korean drugstores only sell medicine.
저는 백 퍼센트 이길 자신이 있어요.,I am 100 percent confident of winning.
비 온다. 우산 펴.,It's raining. Open the umbrella.
이 편지를 우체통에 넣어야 하거든요. ,I have to put this letter in a mailbox.
포도가 너무 시어.,The grapes are too sour.
어른 표 두 장하고 어린이 표 한 장 주세요.,"Two tickets for adults and one for a child, please."
그 소식에 그녀의 표정이 밝아졌다.,Her face lit up at the news.
그게 바로 아빠가 사랑을 표현하는 방식이에요.,That's the way my dad expresses his love.
안전벨트 풀어도 돼요?,May I unfasten my seat belt?
프랑스로 완전히 돌아가는 건가요? ,Are you going back to France for good?
이 프로그램은 어떻게 설치해요? ,How do I install this program?
정말 피곤해 보이네요. 무슨 일 있어요?,You look really tired. What's up?
저는 피부가 건조한 편이에요.,My skin is rather dry.
피아노를 잘 치신다고 들었어요. ,I heard you play the piano very well.
왜 많은 사람들이 담배를 피울까요? ,Why do so many people smoke?
"점심에는 피자를, 저녁에는 스파게티를 먹었다.",I had pizza for lunch and spaghetti for dinner.
김치찌개에는 소금이 필요하다.,Salt is necessary to cook kimchi stew.
얼마 만에 푸른 하늘을 보는 건가요?,How long has it been since we've seen a clear sky?
하려고 했는데 못 했어요. ,"I was going to do it, but I couldn't."
저희는 하루에 9만원입니다.,We charge ninety thousand per day.
"좋아, 하지만 이번 한 번만이야. ","All right, but just this once."
저희 아들 학교생활 잘 하고 있나요? ,How is our son doing in school?
몇 학년이야? - 1학년이에요.,What year are you in? - I'm a freshman.
학생 할인이 됩니까?,Do you have discounts for students?
다음 해에 다시 한국에 올 거예요. ,I'll be back to Korea again next year.
한국말 할 줄 아세요? ,Can you speak Korean?
한글은 자음 14개로 되어 있어요. ,Hangeul has fourteen consonants and ten vowels.
제가 한번 해 볼게요.,Let me have a try.
나는 한복이 불편해서 한복 입는 것을 별로 좋아하지 않는다.,I don't like to wear hanbok very much because it's uncomfortable.
이 한자는 무슨 뜻이에요?,What do these Chinese characters mean?
할머니가 어젯밤 돌아가셨어요.,My grandmother passed away last night.
할아버지는 병원에 계세요. ,My grandfather is in the hospital.
함께 일하게 되어서 기뻐요. ,I'm glad that we'll be working together.
그 사람 전화는 왜 항상 통화중이야?,Why is her line always busy?
해가 바뀌어도 변함없이 해는 뜬다.,The sun rises the same though a new year begins.
핸드폰으로 인터넷 검색을 할 수 있어요.,You can do internet searches by cellphone.
이제 햄버거 지겨워!,Now I'm sick of hamburgers.
그녀가 행복하면 나도 행복하다. ,"As long as she is fine, I'm happy."
나는 허리가 길고 다리가 짧다.,I have a long torso and short legs.
현재 어떤 일을 하고 계세요? ,What do you do for a living now?
우리 형은 아버지처럼 행동해.,My older brother acts as if he were my father.
호주의 계절은 한국하고 정반대야.,The seasons in Australia are opposite to those in Korea.
"실례지만, 한국 호텔이 어딘지 아세요?","Excuse me, can you tell me where the Hotel Hanguk is?"
혼자 여행하고 있어요.,I'm traveling alone.
아직도 나한테 화가 나 있니?,Are you still angry with me?
화장실에 사람이 있어요. ,There's someone in the bathroom.
예약 확인해야 해.,You should confirm the reservation.
의사 선생님은 지금 다른 환자를 보고 계세요.,The doctor is with another patient right now.
회사를 그만둔다고요?,You're quitting the company?
회의가 언제 끝날 것 같아요? ,When do you expect the meeting to finish?
10분 후에 다시 전화할게.,I'll call you back ten minutes later.
그 뮤지컬 공연은 훌륭했다.,The musical performance was excellent.
니 애인 생각보다 훨씬 더 예쁘더라.,Your girlfriend looked much more beautiful than I had expected.
올해 추석에는 휴일이 며칠이에요?,How many holidays do you have on Chusok?
휴지로 코를 풀어라.,Blow your nose with a piece of tissue.
휴지는 휴지통에 버리세요. ,Put your wastepaper into the waste basket.
우리 집 근처에 작은 강이 흘러요.,A small river flows near my house.
흰색이 니 까만 피부랑 잘 어울려.,White goes with your dark skin tones.
오늘은 테니스 칠 힘이 없어.,I don't have the energy to play tennis today.
요즘은 취직하기가 너무 힘들어. ,It's so hard to get a job these days.
